"latency","requestType","responseCode","startTime"
"1","GET","200","1601870246623"
"1","GET","200","1601870246619"
"2","POST","201","1601870245781"
"2","POST","201","1601870244976"
"2","POST","201","1601870244978"
"2","POST","201","1601870244981"
"2","POST","201","1601870244983"
"2","POST","201","1601870244228"
"2","GET","200","1601870246515"
"2","POST","201","1601870244977"
"2","POST","201","1601870246275"
"2","POST","201","1601870245060"
"2","GET","200","1601870246626"
"2","POST","201","1601870245900"
"2","GET","200","1601870246620"
"2","GET","200","1601870246626"
"3","POST","201","1601870244864"
"3","GET","200","1601870246559"
"3","GET","200","1601870246562"
"3","GET","200","1601870246552"
"3","GET","200","1601870246560"
"3","POST","201","1601870244230"
"3","GET","200","1601870246433"
"3","POST","201","1601870244979"
"3","POST","201","1601870246434"
"3","POST","201","1601870244228"
"3","POST","201","1601870244231"
"3","POST","201","1601870246277"
"3","POST","201","1601870243184"
"3","POST","201","1601870243187"
"3","GET","200","1601870246557"
"3","POST","201","1601870242717"
"3","POST","201","1601870245057"
"3","POST","201","1601870245062"
"3","GET","200","1601870246561"
"3","GET","200","1601870246617"
"3","POST","201","1601870245446"
"3","GET","200","1601870246559"
"4","POST","201","1601870246418"
"4","GET","200","1601870246432"
"4","POST","201","1601870245779"
"4","POST","201","1601870246428"
"4","POST","201","1601870246424"
"4","GET","200","1601870246543"
"4","POST","201","1601870245780"
"4","GET","200","1601870246553"
"4","POST","201","1601870243362"
"4","POST","201","1601870245095"
"4","POST","201","1601870246425"
"4","POST","201","1601870246429"
"4","POST","201","1601870245779"
"4","POST","201","1601870246430"
"4","GET","200","1601870246558"
"4","POST","201","1601870245780"
"4","GET","200","1601870246560"
"4","GET","200","1601870246622"
"4","POST","201","1601870246425"
"5","POST","201","1601870243353"
"5","POST","201","1601870246422"
"5","POST","201","1601870246427"
"5","POST","201","1601870246423"
"5","GET","200","1601870246432"
"5","POST","201","1601870245779"
"5","GET","200","1601870246554"
"5","GET","200","1601870246555"
"5","GET","200","1601870246621"
"5","POST","201","1601870242716"
"5","POST","201","1601870243332"
"5","POST","201","1601870243330"
"5","GET","200","1601870246528"
"5","POST","201","1601870242718"
"5","POST","201","1601870243337"
"5","POST","201","1601870242716"
"5","GET","200","1601870246556"
"5","GET","200","1601870246614"
"5","POST","201","1601870243331"
"5","GET","200","1601870246615"
"6","POST","201","1601870243354"
"6","POST","201","1601870243352"
"6","POST","201","1601870244985"
"6","GET","200","1601870246525"
"6","POST","201","1601870243332"
"6","POST","201","1601870243338"
"6","POST","201","1601870246424"
"6","GET","200","1601870246550"
"6","GET","200","1601870246552"
"6","GET","200","1601870246536"
"6","GET","200","1601870246613"
"6","GET","200","1601870246564"
"6","GET","200","1601870246532"
