"latency","requestType","responseCode","startTime"
"640","POST","201","1605659318836"
"86","POST","201","1605659319476"
"106","POST","201","1605659319562"
"105","POST","201","1605659319668"
"174","POST","201","1605659319773"
"72","POST","201","1605659319947"
"50","POST","201","1605659320019"
"63","POST","201","1605659320069"
"27","POST","201","1605659320132"
"82","POST","201","1605659320159"
"36","POST","201","1605659320241"
"36","POST","201","1605659320277"
"125","POST","201","1605659320313"
"58","POST","201","1605659320438"
"66","POST","201","1605659320496"
"76","POST","201","1605659320562"
"65","POST","201","1605659320638"
"84","POST","201","1605659320703"
"71","POST","201","1605659320787"
"60","POST","201","1605659320858"
"49","POST","201","1605659320918"
"49","POST","201","1605659320967"
"61","POST","201","1605659321016"
"81","POST","201","1605659321077"
"38","POST","201","1605659321158"
"54","POST","201","1605659321196"
"33","POST","201","1605659321250"
"27","POST","201","1605659321283"
"45","POST","201","1605659321310"
"70","POST","201","1605659321355"
"59","POST","201","1605659321425"
"57","POST","201","1605659321484"
"56","POST","201","1605659321541"
"28","POST","201","1605659321597"
"40","POST","201","1605659321625"
"39","POST","201","1605659321665"
"114","POST","201","1605659321704"
"101","POST","201","1605659321818"
"36","POST","201","1605659321919"
"43","POST","201","1605659321955"
"97","POST","201","1605659321998"
"8","POST","201","1605659322095"
"16","POST","201","1605659322103"
"39","POST","201","1605659322119"
"42","POST","201","1605659322158"
"34","POST","201","1605659322200"
"41","POST","201","1605659322234"
"70","POST","201","1605659322275"
"37","POST","201","1605659322345"
"46","POST","201","1605659322382"
"32","POST","201","1605659322428"
"45","POST","201","1605659322461"
"29","POST","201","1605659322506"
"20","POST","201","1605659322535"
"62","POST","201","1605659322555"
"25","POST","201","1605659322617"
"44","POST","201","1605659322642"
"35","POST","201","1605659322686"
"41","POST","201","1605659322721"
"44","POST","201","1605659322762"
"53","POST","201","1605659322806"
"65","POST","201","1605659322859"
"15","POST","201","1605659322924"
"50","POST","201","1605659322939"
"15","POST","201","1605659322989"
"43","POST","201","1605659323004"
"38","POST","201","1605659323047"
"44","POST","201","1605659323085"
"32","POST","201","1605659323129"
"39","POST","201","1605659323161"
"38","POST","201","1605659323200"
"73","POST","201","1605659323238"
"56","POST","201","1605659323311"
"57","POST","201","1605659323367"
"31","POST","201","1605659323424"
"96","POST","201","1605659323455"
"68","POST","201","1605659323551"
"51","POST","201","1605659323619"
"55","POST","201","1605659323670"
"47","POST","201","1605659323725"
"22","POST","201","1605659323772"
"27","POST","201","1605659323794"
"75","POST","201","1605659323821"
"54","POST","201","1605659323896"
"51","POST","201","1605659323950"
"27","POST","201","1605659324001"
"21","POST","201","1605659324028"
"39","POST","201","1605659324049"
"28","POST","201","1605659324088"
"48","POST","201","1605659324116"
"32","POST","201","1605659324164"
"33","POST","201","1605659324196"
"16","POST","201","1605659324229"
"17","POST","201","1605659324245"
"29","POST","201","1605659324262"
"75","POST","201","1605659324291"
"36","POST","201","1605659324366"
"28","POST","201","1605659324402"
"26","POST","201","1605659324430"
"22","POST","201","1605659324456"
"47","POST","201","1605659324478"
"52","POST","201","1605659324525"
"33","POST","201","1605659324577"
"17","POST","201","1605659324610"
"23","POST","201","1605659324627"
"37","POST","201","1605659324650"
"67","POST","201","1605659324687"
"41","POST","201","1605659324754"
"61","POST","201","1605659324796"
"31","POST","201","1605659324857"
"25","POST","201","1605659324888"
"38","POST","201","1605659324913"
"16","POST","201","1605659324951"
"23","POST","201","1605659324967"
"12","POST","201","1605659324990"
"25","POST","201","1605659325002"
"24","POST","201","1605659325027"
"12","POST","201","1605659325051"
"32","POST","201","1605659325063"
"44","POST","201","1605659325095"
"17","POST","201","1605659325139"
"19","POST","201","1605659325156"
"20","POST","201","1605659325175"
"16","POST","201","1605659325195"
"17","POST","201","1605659325211"
"64","POST","201","1605659325228"
"12","POST","201","1605659325292"
"14","POST","201","1605659325304"
"24","POST","201","1605659325318"
"19","POST","201","1605659325342"
"22","POST","201","1605659325361"
"15","POST","201","1605659325383"
"16","POST","201","1605659325398"
